908,0.31326666666666664,6,"['GO_REGULATION_OF_CELL_DIFFERENTIATION', 'GO_NEGATIVE_REGULATION_OF_DEVELOPMENTAL_PROCESS', 'GO_NEGATIVE_REGULATION_OF_RESPONSE_TO_STIMULUS', 'GO_RESPONSE_TO_BIOTIC_STIMULUS', 'GO_POSITIVE_REGULATION_OF_CELL_DIFFERENTIATION', 'GO_NEGATIVE_REGULATION_OF_CELL_COMMUNICATION']"
332,1.0,1,['GO_FORMATION_OF_PRIMARY_GERM_LAYER']
336,1.0,1,['GO_SIGNALING_RECEPTOR_ACTIVITY']
1361,1.0,1,['GO_CELLULAR_RESPONSE_TO_EXTRACELLULAR_STIMULUS']
338,0.28325,10,"['GO_RESPONSE_TO_ENDOGENOUS_STIMULUS', 'GO_RESPONSE_TO_EXTERNAL_STIMULUS', 'GO_CELLULAR_RESPONSE_TO_ORGANIC_SUBSTANCE', 'GO_RESPONSE_TO_HORMONE', 'GO_RESPONSE_TO_ORGANIC_CYCLIC_COMPOUND', 'GO_RESPONSE_TO_OXYGEN_CONTAINING_COMPOUND', 'GO_RESPONSE_TO_LIPID', 'GO_POSITIVE_REGULATION_OF_DEVELOPMENTAL_PROCESS', 'GO_TISSUE_DEVELOPMENT', 'GO_SIGNAL_TRANSDUCER_ACTIVITY']"
1251,1.0,1,['GO_RESPONSE_TO_ENDOGENOUS_STIMULUS']
1368,0.4803333333333333,3,"['GO_POSITIVE_REGULATION_OF_CELL_PROLIFERATION', 'GO_POSITIVE_REGULATION_OF_CELL_CYCLE_PROCESS', 'GO_REGULATION_OF_CELL_PROLIFERATION']"
58,1.0,1,['GO_REGULATION_OF_CELL_PROLIFERATION']
1382,1.0,1,['GO_REGULATION_OF_LEUKOCYTE_DIFFERENTIATION']
1387,0.1446666666666667,4,"['GO_OSTEOBLAST_DIFFERENTIATION', 'GO_POSITIVE_REGULATION_OF_MULTICELLULAR_ORGANISMAL_PROCESS', 'GO_REGULATION_OF_CELLULAR_COMPONENT_MOVEMENT', 'GO_EXTRACELLULAR_SPACE']"
366,0.945,2,"['GO_REGULATION_OF_IMMUNE_RESPONSE', 'GO_POSITIVE_REGULATION_OF_IMMUNE_RESPONSE']"
573,1.0,1,['GO_POSITIVE_REGULATION_OF_PHOSPHORUS_METABOLIC_PROCESS']
376,0.283,2,"['GO_DEFENSE_RESPONSE', 'GO_RESPONSE_TO_EXTERNAL_STIMULUS']"
1404,1.0,1,['GO_INTRINSIC_COMPONENT_OF_PLASMA_MEMBRANE']
1416,0.97,2,"['GO_BLOOD_VESSEL_MORPHOGENESIS', 'GO_ANGIOGENESIS']"
393,0.434,4,"['GO_REGULATION_OF_CELL_DIFFERENTIATION', 'GO_TISSUE_DEVELOPMENT', 'GO_SIGNALING_RECEPTOR_ACTIVITY', 'GO_RECEPTOR_ACTIVITY']"
1429,1.0,1,['GO_RESPONSE_TO_ALCOHOL']
1431,0.949,2,"['GO_CELL_MOTILITY', 'GO_LOCOMOTION']"
1432,1.0,1,['GO_INOSITOL_LIPID_MEDIATED_SIGNALING']
1433,0.914,2,"['GO_CELLULAR_RESPONSE_TO_OXYGEN_CONTAINING_COMPOUND', 'GO_RESPONSE_TO_OXYGEN_CONTAINING_COMPOUND']"
1434,1.0,1,['GO_NEGATIVE_REGULATION_OF_DEVELOPMENTAL_PROCESS']
418,1.0,1,['GO_TISSUE_DEVELOPMENT']
1446,1.0,1,['GO_REGULATION_OF_CELLULAR_COMPONENT_MOVEMENT']
425,1.0,1,['GO_TAXIS']
1466,1.0,1,['GO_TISSUE_DEVELOPMENT']
445,0.36966666666666664,3,"['GO_IMMUNE_SYSTEM_PROCESS', 'GO_IMMUNE_RESPONSE', 'GO_RESPONSE_TO_BIOTIC_STIMULUS']"
1470,1.0,1,['GO_REGULATION_OF_MEMBRANE_POTENTIAL']
1781,0.119,2,"['GO_POSITIVE_REGULATION_OF_LOCOMOTION', 'GO_REGULATION_OF_CELLULAR_COMPONENT_MOVEMENT']"
1476,1.0,1,['GO_POSITIVE_REGULATION_OF_CELL_CYCLE_PROCESS']
480,0.265,4,"['GO_POSITIVE_REGULATION_OF_LOCOMOTION', 'GO_REGULATION_OF_CELL_DIFFERENTIATION', 'GO_REGULATION_OF_CELLULAR_COMPONENT_MOVEMENT', 'GO_REGULATION_OF_CELL_DEVELOPMENT']"
1508,0.923,2,"['GO_REGULATION_OF_B_CELL_ACTIVATION', 'GO_REGULATION_OF_B_CELL_PROLIFERATION']"
487,1.0,1,['GO_INFLAMMATORY_RESPONSE']
1449,0.0,2,"['GO_ANATOMICAL_STRUCTURE_FORMATION_INVOLVED_IN_MORPHOGENESIS', 'GO_POSITIVE_REGULATION_OF_MULTICELLULAR_ORGANISMAL_PROCESS']"
1535,0.926,2,"['GO_NEGATIVE_REGULATION_OF_EPITHELIAL_CELL_PROLIFERATION', 'GO_REGULATION_OF_EPITHELIAL_CELL_PROLIFERATION']"
517,1.0,1,['GO_CELL_DEVELOPMENT']
548,1.0,1,['GO_RESPONSE_TO_BIOTIC_STIMULUS']
951,1.0,1,['GO_REGULATION_OF_PROTEIN_SERINE_THREONINE_KINASE_ACTIVITY']
1624,1.0,1,['GO_NEGATIVE_REGULATION_OF_MULTICELLULAR_ORGANISMAL_PROCESS']
1639,0.23334166666666664,16,"['GO_EPITHELIUM_DEVELOPMENT', 'GO_POSITIVE_REGULATION_OF_RESPONSE_TO_STIMULUS', 'GO_TISSUE_MORPHOGENESIS', 'GO_MORPHOGENESIS_OF_AN_EPITHELIUM', 'GO_POSITIVE_REGULATION_OF_CELL_PROLIFERATION', 'GO_REGULATION_OF_EPITHELIAL_CELL_PROLIFERATION', 'GO_INTRACELLULAR_SIGNAL_TRANSDUCTION', 'GO_POSITIVE_REGULATION_OF_PHOSPHORUS_METABOLIC_PROCESS', 'GO_REGULATION_OF_MULTICELLULAR_ORGANISMAL_DEVELOPMENT', 'GO_ORGAN_MORPHOGENESIS', 'GO_POSITIVE_REGULATION_OF_MULTICELLULAR_ORGANISMAL_PROCESS', 'GO_REGULATION_OF_CELL_DIFFERENTIATION', 'GO_REGULATION_OF_CELL_ADHESION', 'GO_TUBE_MORPHOGENESIS', 'GO_REGULATION_OF_CELL_PROLIFERATION', 'GO_TISSUE_DEVELOPMENT']"
1657,1.0,1,['GO_NEGATIVE_REGULATION_OF_CELL_PROLIFERATION']
651,0.24233333333333337,4,"['GO_REGULATION_OF_WOUND_HEALING', 'GO_REGULATION_OF_COAGULATION', 'GO_POSITIVE_REGULATION_OF_MULTICELLULAR_ORGANISMAL_PROCESS', 'GO_EXTRACELLULAR_SPACE']"
666,1.0,1,['GO_RESPONSE_TO_EXTRACELLULAR_STIMULUS']
672,0.631,2,"['GO_REGULATION_OF_FAT_CELL_DIFFERENTIATION', 'GO_NEGATIVE_REGULATION_OF_CELL_DIFFERENTIATION']"
677,0.461,2,"['GO_CIRCULATORY_SYSTEM_DEVELOPMENT', 'GO_TISSUE_DEVELOPMENT']"
678,1.0,1,['GO_EXTRACELLULAR_SPACE']
